No,Date,Month,Ticket number,W/O number,Category,Discirption,Location,Teams,Amount,Released Date,Days Taken,W/O Status,
495,28-Sep-25,,RFS-1-12584916900,"WO/47470",Masonry,REDACTED,REDACTED,Team 2 ,$200.00 ,6-Oct-25,,Closed,
496,28-Sep-25,,IM-1-12582571711,WO/47457,Masonry,REDACTED,REDACTED,Team 5,$547.50 ,29-Sep-25,,Closed,
497,28-Sep-25,,IM-1-12503700480,"WO/47458",Masonry,REDACTED,REDACTED,Team 5,$440.74 ,,,Rejected,
498,28-Sep-25,,RFS-1-12586060017,WO/47494,Carpentry FF,REDACTED,REDACTED,T1 Carpentry,$153.04 ,30-Sep-25,,Closed,
499,28-Sep-25,,CT-102690,WO/47496,Plumbing,REDACTED,REDACTED,T1 Plumbing,$660.00 ,,,Closed,
500,29-Sep-25,,IM-1-12587287127,WO/47498,Plumbing,REDACTED,REDACTED,T1 Plumbing,$391.20 ,1-Oct-25,,Closed,
501,29-Sep-25,,IM-1-12588066120 ,WO/47512,Plumbing,REDACTED,REDACTED,Team 2 ,$279.50 ,1-Oct-25,,Closed,
502,29-Sep-25,,RFS-1-12586010604,WO/47514,Welding & Painting,REDACTED,REDACTED,Team 5,$569.90 ,1-Oct-25,,Approved,
503,29-Sep-25,,IM-1-12588342103,WO/47521,Carpentry RF,REDACTED,REDACTED,T1 Carpentry,$610.74 ,,,Rejected,
504,29-Sep-25,,RFS-1-12587773467,WO/47522,Masonry,REDACTED,REDACTED,T1 Masonry,$146.10 ,1-Oct-25,,Closed,
505,29-Sep-25,,RFS-1-12583803261,WO/47519,Welding & Painting,REDACTED,REDACTED,Welding,"$2,455.90 ",1-Oct-25,,Closed,
506,29-Sep-25,,IM-1-12582726506,WO/47516,Carpentry RF,REDACTED,REDACTED,Team 3,$720.00 ,,,Rejected,
507,29-Sep-25,,IM-1-12582696296,WO/47518,Masonry,REDACTED,REDACTED,Team 3,$225.00 ,,,Rejected,
508,29-Sep-25,,RFS-1-12585295111,WO/47515,Carpentry FF,REDACTED,REDACTED,Team 3,$228.17 ,6-Oct-25,,Closed,
509,29-Sep-25,,IM-1-12562370375,WO/47510,Carpentry RF,REDACTED,REDACTED,Team 4,$300.90 ,1-Oct-25,,Closed,
510,29-Sep-25,,IM-1-12582271656,WO/47509,Carpentry FF,REDACTED,REDACTED,Team 4,$58.34 ,1-Oct-25,,Closed,
511,29-Sep-25,,IM-1-12579749195,WO/47511,Plumbing,REDACTED,REDACTED,Team 4,$164.78 ,1-Oct-25,,Closed,
512,29-Sep-25,,IM-1-12573895660,WO/47508,Masonry,REDACTED,REDACTED,Team 4,$132.50 ,6-Oct-25,,Closed,
513,29-Sep-25,,IM-1-12554973070,WO/47506,Carpentry FF,REDACTED,REDACTED,T1 Carpentry,$750.00 ,1-Oct-25,,Approved,
514,29-Sep-25,,CT-02696,WO/47504,Plumbing,REDACTED,REDACTED,T1 Plumbing,$130.50 ,1-Oct-25,,Closed,
515,30-Sep-25,,CT-02701,WO/47537,Plumbing,REDACTED,REDACTED,T1 Plumbing,$350.60 ,6-Oct-25,,Approved,
516,30-Sep-25,,IM-1-12587860324,WO/47549,Plumbing,REDACTED,REDACTED,T1 Plumbing,$279.50 ,1-Oct-25,,Closed,
517,30-Sep-25,,IM-1-12589500683,WO/47551,Welding & Painting,REDACTED,REDACTED,T1 Painting,$268.20 ,6-Oct-25,,Approved,
518,30-Sep-25,,RFS-1-12588342423,WO/47550,Carpentry FF,REDACTED,REDACTED,T1 Carpentry,$56.25 ,6-Oct-25,,Approved,
519,30-Sep-25,,IM-1-12588066170,WO/47560,Welding & Painting,REDACTED,REDACTED,T1 Painting,$80.90 ,6-Oct-25,,Closed,
520,30-Sep-25,,IM-1-12588066170,WO/47559,Plumbing,REDACTED,REDACTED,T1 Plumbing,$302.50 ,6-Oct-25,,Closed,
521,30-Sep-25,,CT-02707,WO/47562,Masonry,REDACTED,REDACTED,T1 Masonry,$522.50 ,6-Oct-25,,Approved,
522,30-Sep-25,,CT-02702,WO/47539,Plumbing,REDACTED,REDACTED,T1 Plumbing,$122.50 ,2-Oct-25,,Closed,
523,1-Oct-25,,IM-1-12582271682,WO/47547,Carpentry FF,REDACTED,REDACTED,Team 4,$176.28 ,6-Oct-25,,Closed,
524,1-Oct-25,,RFS-1-12588493807,WO/47578,Carpentry FF,REDACTED,REDACTED,Team 5,$132.00 ,6-Oct-25,,Approved,
525,1-Oct-25,,RFS-1-12585213905,WO/47579,Welding & Painting,REDACTED,REDACTED,Team 5,$231.70 ,6-Oct-25,,Closed,
526,1-Oct-25,,RFS-1-12585213906,WO/47554,Plumbing,REDACTED,REDACTED,Aljazeera II,$508.40 ,1-Oct-25,,Closed,
527,1-Oct-25,,RFS-1-12585213905,WO/47580,Carpentry RF,REDACTED,REDACTED,Team 5,$264.00 ,6-Oct-25,,Closed,
528,1-Oct-25,,IM-1-12582272021,"WO/47581",Carpentry FF,REDACTED,REDACTED,Team 5,$413.70 ,6-Oct-25,,Closed,
529,1-Oct-25,,IM-1-12591155337,WO/47582,Welding & Painting,REDACTED,REDACTED,T1 Painting,$345.40 ,1-Oct-25,,Closed,
530,1-Oct-25,,CT-02705,WO/47557,Plumbing,REDACTED,REDACTED,T1 Plumbing,$384.00 ,6-Oct-25,,Closed,
531,1-Oct-25,,CTAL-124072,WO/47555,Plumbing,REDACTED,REDACTED,Aljazeera II,$722.00 ,9-Oct-25,,Closed,
532,2-Oct-25,,IM-1-12588066154,WO/47585,Plumbing,REDACTED,REDACTED,Team 3,$459.05 ,9-Oct-25,,Closed,
533,2-Oct-25,,RFS-1-12589030592,WO/47588,Welding & Painting,REDACTED,REDACTED,Team 3,"$1,895.40 ",6-Oct-25,,Closed,
534,2-Oct-25,,RFS-1-12583055338,WO/47611,Masonry,REDACTED,REDACTED,Team 4,$699.40 ,,,Rejected,
535,2-Oct-25,,RFS-1-12583055338,WO/47614,Plumbing,REDACTED,REDACTED,Team 4,"$4,717.60 ",,,Rejected,
536,2-Oct-25,,RFS-1-12566421766,WO/47605,Carpentry FF,REDACTED,REDACTED,T1 Carpentry,$164.28 ,6-Oct-25,,Closed,
537,2-Oct-25,,CTAL-124073 , WO/47577,Plumbing,REDACTED,REDACTED,Aljazeera II,$579.00 ,5-Oct-25,,Approved,
538,3-Oct-25,,RFS-1-12592365188,WO/47619,Plumbing,REDACTED,REDACTED,T1 Plumbing,$202.16 ,6-Oct-25,,Closed,
539,3-Oct-25,,RFS-1-12586011455,WO/47596,Welding & Painting,REDACTED,REDACTED,Team 4,$143.90 ,6-Oct-25,,Closed,
540,3-Oct-25,,RFS-1-12592643885,WO/47602,Masonry,REDACTED,REDACTED,T1 Masonry,$177.50 ,6-Oct-25,,Closed,
541,4-Oct-25,,IM-1-12589215023,WO/47586,Plumbing,REDACTED,REDACTED,Team 3,$243.75 ,22-Oct-25,,Closed,
542,4-Oct-25,,RFS-1-12583055338,WO/47618,Welding & Painting,REDACTED,REDACTED,Team 4,$634.70 ,6-Oct-25,,Approved,
543,4-Oct-25,,IM-1-12591154746,WO/47609,Plumbing,REDACTED,REDACTED,T1 Plumbing,$29.90 ,6-Oct-25,,Approved,
544,4-Oct-25,,IM-1-12587989367,WO/47597,Plumbing,REDACTED,REDACTED,Team 4,$419.00 ,6-Oct-25,,Closed,
545,4-Oct-25,,RFS-1-12592643506,WO/47604,Welding & Painting,REDACTED,REDACTED,T1 Painting,$407.60 ,6-Oct-25,,Closed,
546,4-Oct-25,,RFS-1-12489929556,WO/47606,Carpentry FF,REDACTED,REDACTED,T1 Carpentry,$168.48 ,6-Oct-25,,Approved,
547,4-Oct-25,,RFS-1-12585389166,WO/47600,Plumbing,REDACTED,REDACTED,T1 Plumbing,$175.50 ,6-Oct-25,,Closed,
548,4-Oct-25,,IM-12549852787,WO/47625,Carpentry FF,REDACTED,REDACTED,T1 Carpentry,$433.56 ,20-Nov-25,,Closed,
549,4-Oct-25,,IM-1-12590729379,WO/47621,Plumbing,REDACTED,REDACTED,T1 Plumbing,$352.50 ,7-Oct-25,,Closed,
550,4-Oct-25,,IM-1-12592644241,WO/47620,Plumbing,REDACTED,REDACTED,T1 Plumbing,$654.25 ,6-Oct-25,,Closed,
551,4-Oct-25,,RFS-1-12589031251,WO/47626,Welding & Painting,REDACTED,REDACTED,Welding,$523.00 ,6-Oct-25,,Closed,
552,5-Oct-25,,IM-1-12569746127,WO/47635,Plumbing,REDACTED,REDACTED,T1 Plumbing,"$1,767.22 ",,,Rejected,
553,5-Oct-25,,IM-1-12571181114,WO/47631,Welding & Painting,REDACTED,REDACTED,Welding,$809.20 ,,,Rejected,
554,5-Oct-25,,CT-02736,WO/47643,Plumbing,REDACTED,REDACTED,T1 Plumbing,$821.00 ,6-Oct-25,,Closed,
555,5-Oct-25,,CT-02725,WO/47632,Plumbing,REDACTED,REDACTED,T1 Plumbing,$411.00 ,5-Oct-25,,Closed,
556,6-Oct-25,,RFS-1-12588467527,WO/47634,Carpentry FF,REDACTED,REDACTED,Team 5,$124.16 ,8-Oct-25,,Closed,
557,6-Oct-25,,CT-02724,WO/47630,Plumbing,REDACTED,REDACTED,T1 Plumbing,$368.50 ,8-Oct-25,,Closed,
558,6-Oct-25,,RFS-1-12594300411,WO/47651,Plumbing,REDACTED,REDACTED,T1 Plumbing,$346.50 ,8-Oct-25,,Closed,
559,6-Oct-25,,RFS-1-12601341528,WO/47650,Plumbing,REDACTED,REDACTED,T1 Plumbing,$263.15 ,8-Oct-25,,Closed,
560,6-Oct-25,,RFS-1-12594403203 ,WO/47655,Plumbing,REDACTED,REDACTED,T1 Plumbing,$94.00 ,8-Oct-25,,Closed,
561,6-Oct-25,,IM-1-12598339200,WO/47659,Plumbing,REDACTED,REDACTED,T1 Plumbing,$295.15 ,8-Oct-25,,Closed,
562,6-Oct-25,,RFS-1-12586011258,WO/47657,Masonry,REDACTED,REDACTED,T1 Masonry,$390.16 ,,,Rejected,
563,6-Oct-25,,IM-1-12587989404,WO/47674,Plumbing,REDACTED,REDACTED,T1 Plumbing,$259.00 ,8-Oct-25,,Closed,
564,6-Oct-25,,CT-02738,WO/47656,Plumbing,REDACTED,REDACTED,T1 Plumbing,$364.00 ,8-Oct-25,,Closed,
565,6-Oct-25,,CT-02717,WO/47675,Welding & Painting,REDACTED,REDACTED,Welding,$392.40 ,8-Oct-25,,Closed,
566,7-Oct-25,,RFS-1-12588342207,WO/47641,Carpentry FF,REDACTED,REDACTED,Team 4,$78.00 ,8-Oct-25,,Closed,
567,7-Oct-25,,IM-1-12591011340,WO/47642,Masonry,REDACTED,REDACTED,Team 4,$499.00 ,8-Oct-25,,Approved,
568,7-Oct-25,,RFS-1-12588342221,WO/47645,Carpentry FF,REDACTED,REDACTED,Team 4,$114.00 ,8-Oct-25,,Closed,
569,7-Oct-25,,IM-1-12589814748,WO/47649,Plumbing,REDACTED,REDACTED,Team 4,$138.00 ,8-Oct-25,,Closed,
570,7-Oct-25,,IM-1-12586440162,WO/47647,Plumbing,REDACTED,REDACTED,Team 4,$104.50 ,8-Oct-25,,Closed,
571,7-Oct-25,,RFS-1-12594402712,WO/47672,Plumbing,REDACTED,REDACTED,T1 Plumbing,$279.50 ,8-Oct-25,,Closed,
572,7-Oct-25,,RFS-1-12603611031,WO/47690,Plumbing,REDACTED,REDACTED,T1 Painting,$165.20 ,8-Oct-25,,Closed,
573,7-Oct-25,,CT-02746,WO/47698,Plumbing,REDACTED,REDACTED,T1 Plumbing,$411.00 ,7-Oct-25,,Closed,
574,7-Oct-25,,IM-1-1258287155,WO/47583,Plumbing,REDACTED,REDACTED,T1 Plumbing,$279.50 ,8-Oct-25,,Closed,
575,7-Oct-25,,IM-1-12591011268 ,"WO/47705",Carpentry RF,REDACTED,REDACTED,Team 2 ,$155.00 ,8-Oct-25,,Closed,
576,7-Oct-25,,IM-1-12586920868,WO/47710,Welding & Painting,REDACTED,REDACTED,Team 4,$809.40 ,9-Oct-25,,Closed,
577,7-Oct-25,,IM-1-12598339037,WO/47709,Plumbing,REDACTED,REDACTED,Team 4,$365.00 ,8-Oct-25,,Closed,
578,7-Oct-25,,IM-1-12603482931,WO/47701,Plumbing,REDACTED,REDACTED,T1 Plumbing,$261.00 ,8-Oct-25,,Closed,
579,8-Oct-25,,IM-1-12589446396,WO/47574,Carpentry FF,REDACTED,REDACTED,T1 Carpentry,$56.00 ,9-Oct-25,,Closed,
580,8-Oct-25,,IM-1-12589641612,WO/47568,Plumbing,REDACTED,REDACTED,T1 Plumbing,$113.78 ,9-Oct-25,,Closed,
581,8-Oct-25,,RFS-1-12589101256,WO/47569,Plumbing,REDACTED,REDACTED,T1 Plumbing,$195.50 ,9-Oct-25,,Approved,
582,8-Oct-25,,IM-1-12591011132,WO/47570,Carpentry FF,REDACTED,REDACTED,T1 Carpentry,$66.00 ,9-Oct-25,,Closed,
583,8-Oct-25,,RFS-1-12562429537,WO/47513,Carpentry RF,REDACTED,REDACTED,Team 3,"$2,677.04 ",9-Oct-25,,Approved,
584,8-Oct-25,,RFS-1-12588342228,WO/47646,Carpentry RF,REDACTED,REDACTED,Team 4,$640.62 ,8-Oct-25,,Closed,
585,8-Oct-25,,RFS-1-12603179002,WO/47685,Carpentry FF,REDACTED,REDACTED,T1 Carpentry,$53.40 ,8-Oct-25,,Closed,
586,8-Oct-25,,RFS-1-12592644292,WO/47688,Welding & Painting,REDACTED,REDACTED,T1 Painting,$86.70 ,8-Oct-25,,Closed,
587,8-Oct-25,,RFS-1-12603178694,WO/47703,Plumbing,REDACTED,REDACTED,Team 2 ,$452.50 ,8-Oct-25,,Rejected,
588,8-Oct-25,,IM-1-12569746127,WO/47683,Carpentry FF,REDACTED,REDACTED,T1 Carpentry,$653.39 ,8-Oct-25,,Approved,
589,8-Oct-25,,CT-02665 ,"WO/47713",Welding & Painting,REDACTED,REDACTED,Team 2 ,$646.00 ,8-Oct-25,,Closed,
590,8-Oct-25,,IM-1-12604179162,WO/47714,Carpentry FF,REDACTED,REDACTED,Team 2 ,$56.00 ,8-Oct-25,,Closed,
591,8-Oct-25,,CT-02708,WO/47715,Welding & Painting,REDACTED,REDACTED,Team 4,"$1,919.40 ",,,Rejected,
592,8-Oct-25,,RFS-1-12601341603,WO/47716,Welding & Painting,REDACTED,REDACTED,T1 Painting,$194.40 ,8-Oct-25,,Closed,
593,8-Oct-25,,IM-1-12587076849," WO/47717",Masonry,REDACTED,REDACTED,Team 5,$308.20 ,9-Oct-25,,Closed,
594,8-Oct-25,,CTAL-124080,WO/47662,Masonry,REDACTED,REDACTED,Aljazeera II,$667.50 ,8-Oct-25,,Approved,
595,8-Oct-25,,IM-1-12489929592,"WO/46390",Carpentry FF,REDACTED,REDACTED,T1 Carpentry,$720.00 ,8-Oct-25,,Approved,
596,8-Oct-25,,CTAL-124079,"WO/47653",Plumbing,REDACTED,REDACTED,Aljazeera II,$315.00 ,8-Oct-25,,Closed,
597,8-Oct-25,,CTAL-124076 ,WO/47592,Plumbing,REDACTED,REDACTED,Aljazeera II,$433.00 ,8-Oct-25,,Approved,
598,8-Oct-25,,CTAL-124075,WO/47589,Plumbing,REDACTED,REDACTED,Aljazeera II,$539.60 ,8-Oct-25,,Closed,
599,8-Oct-25,,CT-02750,WO/47746,Plumbing,REDACTED,REDACTED,T1 Plumbing,$245.00 ,9-Oct-25,,Closed,
600,9-Oct-25,,RFS-1-12585294846,WO/47571,Welding & Painting,REDACTED,REDACTED,Welding,"$3,390.00 ",30-Oct-25,,Closed,
601,9-Oct-25,,RFS-1-12585461707,WO/47533,Welding & Painting,REDACTED,REDACTED,Welding,"$2,261.20 ",9-Oct-25,,Closed,
602,9-Oct-25,,CT-02751,WO/47751,Plumbing,REDACTED,REDACTED,Team 4,$849.20 ,9-Oct-25,,Closed,
603,9-Oct-25,,IM-1-12604202724,WO/47750,Plumbing,REDACTED,REDACTED,Team 4,$423.48 ,9-Oct-25,,Closed,
604,9-Oct-25,,IM-1-12586439937,WO/47738,Carpentry FF,REDACTED,REDACTED,T1 Carpentry,$483.28 ,9-Oct-25,,Closed,
605,9-Oct-25,,RFS-1-12594606261,WO/47748,Plumbing,REDACTED,REDACTED,T1 Painting,$123.00 ,9-Oct-25,,Closed,
606,9-Oct-25,,RFS-1-12603482744,WO/47749,Plumbing,REDACTED,REDACTED,T1 Plumbing,$751.98 ,9-Oct-25,,Closed,
607,9-Oct-25,,IM-1-12569746127,WO/47745,Masonry,REDACTED,REDACTED,T1 Masonry,"$3,701.10 ",,,Rejected,
608,9-Oct-25,,RFS-1-12606084307,WO/47747,Plumbing,REDACTED,REDACTED,T1 Plumbing,$219.40 ,9-Oct-25,,Closed,
609,9-Oct-25,,RFS-1-12586010667,WO/47744,Masonry,REDACTED,REDACTED,T1 Plumbing,"$2,952.50 ",9-Oct-25,,Approved,
610,9-Oct-25,,IM-1-12604119834,WO/47741,Carpentry RF,REDACTED,REDACTED,T1 Carpentry,$339.00 ,9-Oct-25,,Approved,
611,9-Oct-25,,RFS-1-12606173955,WO/47733,Plumbing,REDACTED,REDACTED,T1 Plumbing,$230.25 ,9-Oct-25,,Closed,
612,9-Oct-25,,IM-12599075804,WO/47727,Plumbing,REDACTED,REDACTED,Team 4,$160.00 ,9-Oct-25,,Closed,
613,9-Oct-25,,RFS-1-12603179385,WO/47729,Plumbing,REDACTED,REDACTED,T1 Plumbing,$615.00 ,9-Oct-25,,Approved,
614,9-Oct-25,,IM-1-12598339234,WO/47732,Carpentry FF,REDACTED,REDACTED,T1 Carpentry,$98.64 ,,,Rejected,
615,9-Oct-25,,IM-1-12594908750,WO/47720,Plumbing,REDACTED,REDACTED,Team 4,$232.66 ,9-Oct-25,,Closed,
616,9-Oct-25,,IM-1-12601017290,WO/47721,Masonry,REDACTED,REDACTED,Team 4,"$1,285.00 ",9-Oct-25,,Closed,
617,9-Oct-25,,IM-1-12601016681,WO/47723,Plumbing,REDACTED,REDACTED,Team 4,"$1,586.70 ",9-Oct-25,,Approved,
618,9-Oct-25,,RFS-1-12541811497,WO/47718,Welding & Painting,REDACTED,REDACTED,T1 Painting,$533.90 ,9-Oct-25,,Approved,
619,9-Oct-25,,IM-1-12607660749,WO/47773,Plumbing,REDACTED,REDACTED,T1 Plumbing,$141.50 ,9-Oct-25,,Closed,
620,9-Oct-25,,RFS-1-12607013261,"WO/47775",Plumbing,REDACTED,REDACTED,T1 Plumbing,$127.34 ,9-Oct-25,,Approved,
621,9-Oct-25,,IM-1-12607661043,WO/47755,Plumbing,REDACTED,REDACTED,T1 Plumbing,$279.00 ,9-Oct-25,,Closed,
622,9-Oct-25,,RFS-1-12603525218,WO/47754,Plumbing,REDACTED,REDACTED,T1 Plumbing,$920.00 ,9-Oct-25,,Closed,
623,9-Oct-25,,RFS-1-12576338381,WO/47764,Masonry,REDACTED,REDACTED,T1 Masonry,$295.74 ,12-Oct-25,,Closed,
624,9-Oct-25,,IM-1-12606971997,WO/47779,Carpentry FF,REDACTED,REDACTED,T1 Carpentry,$110.00 ,,,Rejected,
625,9-Oct-25,,RFS-1-12607012989,WO/47781,Welding & Painting,REDACTED,REDACTED,T1 Painting,$673.10 ,20-Oct-25,,Closed,
626,9-Oct-25,,IM-1-12607661460,WO/47778,Welding & Painting,REDACTED,REDACTED,T1 Painting,$411.00 ,9-Oct-25,,Closed,
627,9-Oct-25,,CTAL-124077 ,WO/47639,Carpentry FF,REDACTED,REDACTED,Aljazeera II,$584.00 ,9-Oct-25,,Closed,
628,9-Oct-25,,CT-02757,WO/47759,Plumbing,REDACTED,REDACTED,T1 Plumbing,$122.50 ,9-Oct-25,,Closed,
629,9-Oct-25,,CT-02758,WO/47767,Plumbing,REDACTED,REDACTED,T1 Plumbing,$122.50 ,9-Oct-25,,Closed,
630,11-Oct-25,,IM-1-12607709972,WO/47801,Plumbing,REDACTED,REDACTED,T1 Plumbing,$637.70 ,12-Oct-25,,Closed,
631,11-Oct-25,,IM-1-12589384204,WO/47798,Carpentry FF,REDACTED,REDACTED,Team 3,"$1,788.00 ",12-Oct-25,,Closed,
632,11-Oct-25,,IM-1-12610304682,WO/47800,Plumbing,REDACTED,REDACTED,T1 Plumbing,$438.30 ,12-Oct-25,,Closed,
633,11-Oct-25,,RFS-1-12594473670,WO/47794,Carpentry FF,REDACTED,REDACTED,Team 3,$564.00 ,,,Closed,
634,11-Oct-25,,IM-1-12595249258,WO/47786,Welding & Painting,REDACTED,REDACTED,T1 Painting,"$1,949.00 ",,,Rejected,
635,11-Oct-25,,RFS-1-12606174339,WO/47824,Plumbing,REDACTED,REDACTED,Team 5,$474.00 ,13-Oct-25,,Closed,
636,12-Oct-25,,IM-1-12589814497,WO/47644,Masonry,REDACTED,REDACTED,Team 4,$254.60 ,12-Oct-25,,Closed,
637,12-Oct-25,,IM-1-12589500759,WO/47769,Masonry,REDACTED,REDACTED,Team 3,$876.00 ,12-Oct-25,,Approved,
638,12-Oct-25,,IM-1-12603834198,WO/47762,Carpentry FF,REDACTED,REDACTED,Team 4,$59.00 ,12-Oct-25,,Closed,
639,12-Oct-25,,IM-1-12396902788,WO/47768,Welding & Painting,REDACTED,REDACTED,Welding,$798.30 ,12-Oct-25,,Approved,
640,12-Oct-25,,RFS-1-12606083803,WO/47765,Welding & Painting,REDACTED,REDACTED,Welding,$84.00 ,12-Oct-25,,Closed,
641,12-Oct-25,,RFS-1-12603051841,WO/47777,Plumbing,REDACTED,REDACTED,T1 Plumbing,$960.00 ,12-Oct-25,,Closed,
642,12-Oct-25,,RFS-1-12465164571,WO/47780,Carpentry FF,REDACTED,REDACTED,T1 Carpentry,$270.00 ,12-Oct-25,,Closed,
643,12-Oct-25,,IM-12608032127,WO/47799,Welding & Painting,REDACTED,REDACTED,T1 Painting,$351.00 ,12-Oct-25,,Closed,
644,12-Oct-25,,IM-1-12592846959,WO/47795,Carpentry RF,REDACTED,REDACTED,Team 3,$644.40 ,12-Oct-25,,Closed,
645,12-Oct-25,,IM-1-12592846953,WO/47797,Carpentry FF,REDACTED,REDACTED,Team 3,$204.00 ,12-Oct-25,,Closed,
646,12-Oct-25,,RFS-1-12593086380,WO/47793,Carpentry FF,REDACTED,REDACTED,Team 3,$896.40 ,12-Oct-25,,Approved,
647,12-Oct-25,,IM-1-12591285548,WO/47784,Welding & Painting,REDACTED,REDACTED,T1 Painting,$192.48 ,12-Oct-25,,Closed,
648,12-Oct-25,,IM-1-12598116300,WO/47789,Carpentry FF,REDACTED,REDACTED,Team 3,$152.00 ,12-Oct-25,,Closed,
649,12-Oct-25,,IM-1-12604202724,WO/47772,Plumbing,REDACTED,REDACTED,Team 4,$122.50 ,9-Oct-25,,Closed,
650,12-Oct-25,,CT-02771,WO/47806,Plumbing,REDACTED,REDACTED,T1 Plumbing,$263.40 ,12-Oct-25,,Approved,
651,12-Oct-25,,CT-01546,WO/47826,Masonry,REDACTED,REDACTED,Team 4,"$1,320.00 ",16-Oct-25,,Closed,
652,13-Oct-25,,RFS-1-12589214700,WO/47787,Carpentry FF,REDACTED,REDACTED,Team 3,$211.14 ,13-Oct-25,,Closed,
653,13-Oct-25,,IM-1-12608665675,WO/47809,Plumbing,REDACTED,REDACTED,Team 4,$419.00 ,13-Oct-25,,Closed,
654,13-Oct-25,,IM-1-12608665675,WO/47811,Plumbing,REDACTED,REDACTED,Team 4,$122.00 ,13-Oct-25,,Closed,
655,13-Oct-25,,IM-1-12608665675,WO/47812,Plumbing,REDACTED,REDACTED,Team 4,$225.78 ,13-Oct-25,,Closed,
656,13-Oct-25,,IM-1-12604202816,WO/47814,Plumbing,REDACTED,REDACTED,Team 4,$118.50 ,13-Oct-25,,Closed,
657,13-Oct-25,,IM-1-12607661460,WO/47823,Carpentry FF,REDACTED,REDACTED,T1 Carpentry,$83.64 ,13-Oct-25,,Closed,
658,13-Oct-25,,RFS-1-12592491983,WO/47783,Welding & Painting,REDACTED,REDACTED,T1 Painting,$176.00 ,13-Oct-25,,Closed,
659,13-Oct-25,,CT-02781 ,WO/47828,Plumbing,REDACTED,REDACTED,T1 Plumbing,$269.50 ,13-Oct-25,,Closed,
660,13-Oct-25,,IM-1-12608665603,WO/47837,Plumbing,REDACTED,REDACTED,Team 2 ,$452.50 ,13-Oct-25,,Closed,
661,13-Oct-25,,CT-02766,WO/47839,Masonry,REDACTED,REDACTED,Team 2 ,$605.00 ,15-Oct-25,,Closed,
662,13-Oct-25,,IM-1-12607591587,WO/47840,Carpentry FF,REDACTED,REDACTED,Team 2 ,$110.72 ,,,Rejected,
663,13-Oct-25,,CT-02785,WO/47834,Welding & Painting,REDACTED,REDACTED,T1 Painting,$315.20 ,15-Oct-25,,Closed,
664,14-Oct-25,,IM-1-12522533195,WO/46292,Carpentry RF,REDACTED,REDACTED,T1 Carpentry,$799.12 ,19-Oct-25,,Closed,
665,14-Oct-25,,IM-1-12608665639,WO/47836,Plumbing,REDACTED,REDACTED,Team 4,$430.78 ,14-Oct-25,,Closed,
666,14-Oct-25,,IM-1-12608665639,WO/47838,Plumbing,REDACTED,REDACTED,Team 4,$122.00 ,14-Oct-25,,Closed,
667,14-Oct-25,,IM-1-12608716076,WO/47841,Carpentry FF,REDACTED,REDACTED,T1 Carpentry,$171.78 ,14-Oct-25,,Closed,
668,14-Oct-25,,IM-1-12608665691,WO/47844,Carpentry RF,REDACTED,REDACTED,T1 Carpentry,$622.20 ,14-Oct-25,,Closed,
669,14-Oct-25,,RFS-1-12611683599,WO/47848,Plumbing,REDACTED,REDACTED,T1 Plumbing,$425.50 ,14-Oct-25,,Closed,
670,14-Oct-25,,RFS-1-12611683599,WO/47849,Plumbing,REDACTED,REDACTED,T1 Plumbing,$122.00 ,14-Oct-25,,Closed,
671,14-Oct-25,,IM-1-12612537086,WO/47852,Plumbing,REDACTED,REDACTED,T1 Plumbing,$279.50 ,14-Oct-25,,Closed,
672,14-Oct-25,,IM-1-12609982544,WO/47850,Plumbing,REDACTED,REDACTED,T1 Plumbing,$495.46 ,14-Oct-25,,Closed,
673,14-Oct-25,,RFS-1-12606972108,WO/47843,Welding & Painting,REDACTED,REDACTED,T1 Painting,$184.64 ,14-Oct-25,,Closed,
674,14-Oct-25,,CT-02703,WO/47540,Welding & Painting,REDACTED,REDACTED,Welding,$580.00 ,14-Oct-25,,Closed,
675,14-Oct-25,,RFS-1-12609093674,WO/47855,Plumbing,REDACTED,REDACTED,Team 2 ,$54.00 ,14-Oct-25,,Approved,
676,14-Oct-25,,RFS-1-12611037948,WO/47868,Carpentry FF,REDACTED,REDACTED,T1 Carpentry,$524.20 ,,,Rejected,
677,14-Oct-25,,RFS-1-12614012202,WO/47867,Plumbing,REDACTED,REDACTED,T1 Plumbing,$75.00 ,15-Oct-25,,Approved,
678,15-Oct-25,,IM-1-12612537243 ,"WO/47846",Plumbing,REDACTED,REDACTED,T1 Plumbing,$769.00 ,15-Oct-25,,Closed,
679,15-Oct-25,,RFS-1-12586203069 ,WO/47851,Plumbing,REDACTED,REDACTED,T1 Plumbing,$279.50 ,15-Oct-25,,Closed,
680,15-Oct-25,,RFS-1-12611038204,WO/47873,Carpentry RF,REDACTED,REDACTED,Team 3,$603.60 ,16-Oct-25,,Approved,
681,15-Oct-25,,IM-1-12612820807,WO/47874,Plumbing,REDACTED,REDACTED,Team 3,$223.32 ,15-Oct-25,,Closed,
682,15-Oct-25,,CT-02791,WO/47888,Plumbing,REDACTED,REDACTED,T1 Plumbing,$211.50 ,15-Oct-25,,Approved,
683,15-Oct-25,,RFS-1-12614186859,WO/47892,Welding & Painting,REDACTED,REDACTED,T1 Painting,$621.60 ,,,Rejected,
684,15-Oct-25,,RFS-1-12609093498,WO/47893,Masonry,REDACTED,REDACTED,T1 Masonry,$390.16 ,19-Oct-25,,Approved,
